POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
29,606.53,1553.2,1830.56,-1424.63,-12686.56,658.17,5493.35,-2161.51,51.17,0.0,-3969.38,-2110.35,-6079.73
30,583.79,1575.13,1813.76,-1479.64,-12628.74,643.92,5481.85,-2135.86,49.96,0.0,-4009.94,-2085.9,-6095.84
31,593.62,1515.17,1821.69,-1438.37,-12745.68,656.59,5547.68,-2135.18,49.77,0.0,-4049.31,-2085.41,-6134.72
32,586.72,1533.17,1824.74,-1449.5,-12681.7,674.16,5570.55,-2170.97,49.8,0.0,-3941.86,-2121.17,-6063.02
33,611.37,1522.42,1784.28,-1435.58,-12717.96,650.39,5478.86,-2099.5,50.42,0.0,-4106.22,-2049.09,-6155.3
34,613.83,1581.85,1812.46,-1451.18,-12682.84,648.91,5481.35,-2134.79,51.04,0.0,-3995.62,-2083.74,-6079.36
35,608.97,1502.79,1833.25,-1465.54,-12688.16,655.21,5502.32,-2159.5,50.77,0.0,-4051.17,-2108.73,-6159.9
36,583.89,1537.78,1802.53,-1420.23,-12766.57,673.5,5549.99,-2107.5,50.49,0.0,-4039.12,-2057.01,-6096.13
37,595.03,1568.68,1809.28,-1456.55,-12685.95,656.47,5535.67,-2173.85,50.56,0.0,-3977.37,-2123.29,-6100.66
38,617.55,1548.89,1828.43,-1456.31,-12710.81,671.25,5521.47,-2133.67,50.32,0.0,-3979.53,-2083.36,-6062.89
